		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
CLPS - MGLL
CLPS - APOA5
ALB - MGLL
ALB - APOA5
ALB - CLPS
FABP4 - MGLL
FABP4 - APOA5
FABP4 - CLPS
LDLRAP1 - MGLL
LDLRAP1 - ABCA1
LDLRAP1 - ALB
APOA1 - MGLL
APOA1 - APOA5
APOA1 - CLPS
APOA2 - MGLL
APOA2 - APOA5
APOA2 - CLPS
APOB - MGLL
APOB - APOA5
APOB - CLPS
APOC2 - MGLL
APOC2 - APOA5
APOC2 - CLPS
APOC3 - MGLL
APOC3 - APOA5
APOC3 - CLPS
APOE - MGLL
APOE - APOA5
APOE - CLPS
LCAT - MGLL
LCAT - CLPS
LCAT - ABCA1
LDLR - MGLL
LDLR - ABCA1
LDLR - LDLRAP1
LIPC - MGLL
LIPC - CLPS
LIPC - ALB
LIPE - MGLL
LIPE - CLPS
LIPE - FABP4
LPA - MGLL
LPA - APOA5
LPA - CLPS
LPL - MGLL
LPL - APOA5
LPL - CLPS
MTTP - MGLL
MTTP - APOA5
MTTP - CLPS
P4HB - MGLL
P4HB - APOA5
P4HB - ABCA1
ABHD5 - ABCA1
ABHD5 - ALB
ABHD5 - FABP4
SAR1B - MGLL
SAR1B - ABCA1
SAR1B - ALB
PLIN1 - MGLL
PLIN1 - APOA5
PLIN1 - CLPS
PNLIP - MGLL
PNLIP - APOA5
PNLIP - CLPS
PPP1CA - MGLL
PPP1CA - APOA5
PPP1CA - ABCA1
PPP1CB - MGLL
PPP1CB - APOA5
PPP1CB - CLPS
PPP1CC - MGLL
PPP1CC - APOA5
PPP1CC - CLPS
PRKACA - MGLL
PRKACA - ABCA1
PRKACA - ALB
PRKACB - MGLL
PRKACB - APOA5
PRKACB - CLPS
PRKACG - MGLL
PRKACG - APOA5
PRKACG - CLPS
SDC1 - MGLL
SDC1 - APOA5
SDC1 - CLPS
ABCG5 - MGLL
ABCG5 - APOA5
ABCG5 - CLPS
BMP1 - MGLL
BMP1 - APOA5
BMP1 - CLPS
CUBN - MGLL
CUBN - ABCA1
CUBN - ALB
AMN - MGLL
AMN - APOA5
AMN - CLPS
CAV1 - MGLL
CAV1 - APOA5
CAV1 - CLPS
SCARB1 - MGLL
SCARB1 - CLPS
SCARB1 - LDLRAP1
ABCG1 - MGLL
ABCG1 - ALB
ABCG1 - LDLRAP1


network 25 (304)	 number of edges : 108
------------------------------

APOA5 - MGLL
CLPS - MGLL
CLPS - APOA5
ALB - MGLL
ALB - APOA5
ALB - CLPS
FABP4 - MGLL
FABP4 - APOA5
FABP4 - CLPS
LDLRAP1 - MGLL
LDLRAP1 - ABCA1
LDLRAP1 - ALB
APOA1 - MGLL
APOA1 - APOA5
APOA1 - CLPS
APOA2 - MGLL
APOA2 - APOA5
APOA2 - ALB
APOB - MGLL
APOB - APOA5
APOB - CLPS
APOC2 - MGLL
APOC2 - APOA5
APOC2 - CLPS
APOC3 - MGLL
APOC3 - APOA5
APOC3 - CLPS
APOE - MGLL
APOE - APOA5
APOE - CLPS
LCAT - MGLL
LCAT - ALB
LCAT - LDLRAP1
LDLR - MGLL
LDLR - LDLRAP1
LDLR - APOA1
LIPC - MGLL
LIPC - APOA5
LIPC - CLPS
LIPE - MGLL
LIPE - CLPS
LIPE - ALB
LPA - MGLL
LPA - APOA5
LPA - CLPS
LPL - MGLL
LPL - CLPS
LPL - ALB
MTTP - MGLL
MTTP - APOA5
MTTP - CLPS
P4HB - MGLL
P4HB - APOA5
P4HB - ABCA1
ABHD5 - ABCA1
ABHD5 - ALB
ABHD5 - FABP4
SAR1B - MGLL
SAR1B - ABCA1
SAR1B - ALB
PLIN1 - MGLL
PLIN1 - APOA5
PLIN1 - CLPS
PNLIP - MGLL
PNLIP - APOA5
PNLIP - CLPS
PPP1CA - MGLL
PPP1CA - APOA5
PPP1CA - ABCA1
PPP1CB - MGLL
PPP1CB - ALB
PPP1CB - FABP4
PPP1CC - MGLL
PPP1CC - APOA5
PPP1CC - CLPS
PRKACA - MGLL
PRKACA - ABCA1
PRKACA - ALB
PRKACB - MGLL
PRKACB - APOA5
PRKACB - CLPS
PRKACG - MGLL
PRKACG - APOA5
PRKACG - CLPS
SDC1 - MGLL
SDC1 - APOA5
SDC1 - CLPS
ABCG5 - MGLL
ABCG5 - APOA5
ABCG5 - CLPS
BMP1 - MGLL
BMP1 - APOA5
BMP1 - CLPS
CUBN - MGLL
CUBN - ABCA1
CUBN - ALB
AMN - MGLL
AMN - APOA5
AMN - CLPS
CAV1 - MGLL
CAV1 - APOA5
CAV1 - CLPS
SCARB1 - MGLL
SCARB1 - FABP4
SCARB1 - LDLRAP1
ABCG1 - ALB
ABCG1 - FABP4
ABCG1 - LDLRAP1


network 26 (312)	 number of edges : 108
------------------------------

APOA5 - MGLL
CLPS - MGLL
CLPS - APOA5
ALB - MGLL
ALB - APOA5
ALB - CLPS
FABP4 - MGLL
FABP4 - APOA5
FABP4 - CLPS
LDLRAP1 - MGLL
LDLRAP1 - ABCA1
LDLRAP1 - ALB
APOA1 - MGLL
APOA1 - APOA5
APOA1 - CLPS
APOA2 - MGLL
APOA2 - APOA5
APOA2 - ALB
APOB - MGLL
APOB - APOA5
APOB - CLPS
APOC2 - MGLL
APOC2 - APOA5
APOC2 - CLPS
APOC3 - MGLL
APOC3 - APOA5
APOC3 - CLPS
APOE - MGLL
APOE - APOA5
APOE - CLPS
LCAT - MGLL
LCAT - ALB
LCAT - LDLRAP1
LDLR - MGLL
LDLR - LDLRAP1
LDLR - APOA1
LIPC - MGLL
LIPC - APOA5
LIPC - CLPS
LIPE - MGLL
LIPE - ALB
LIPE - FABP4
LPA - MGLL
LPA - APOA5
LPA - CLPS
LPL - MGLL
LPL - CLPS
LPL - ALB
MTTP - MGLL
MTTP - APOA5
MTTP - CLPS
P4HB - MGLL
P4HB - APOA5
P4HB - ABCA1
ABHD5 - ABCA1
ABHD5 - ALB
ABHD5 - FABP4
SAR1B - MGLL
SAR1B - ABCA1
SAR1B - ALB
PLIN1 - MGLL
PLIN1 - APOA5
PLIN1 - CLPS
PNLIP - MGLL
PNLIP - APOA5
PNLIP - CLPS
PPP1CA - MGLL
PPP1CA - APOA5
PPP1CA - ABCA1
PPP1CB - MGLL
PPP1CB - ALB
PPP1CB - FABP4
PPP1CC - MGLL
PPP1CC - APOA5
PPP1CC - CLPS
PRKACA - MGLL
PRKACA - ABCA1
PRKACA - ALB
PRKACB - MGLL
PRKACB - APOA5
PRKACB - CLPS
PRKACG - MGLL
PRKACG - APOA5
PRKACG - CLPS
SDC1 - MGLL
SDC1 - APOA5
SDC1 - CLPS
ABCG5 - MGLL
ABCG5 - APOA5
ABCG5 - CLPS
BMP1 - MGLL
BMP1 - APOA5
BMP1 - CLPS
CUBN - MGLL
CUBN - ABCA1
CUBN - ALB
AMN - MGLL
AMN - APOA5
AMN - CLPS
CAV1 - MGLL
CAV1 - APOA5
CAV1 - CLPS
SCARB1 - MGLL
SCARB1 - FABP4
SCARB1 - LDLRAP1
ABCG1 - ALB
ABCG1 - FABP4
ABCG1 - LDLRAP1


network 27 (314)	 number of edges : 108
------------------------------

APOA5 - MGLL
CLPS - MGLL
CLPS - APOA5
ALB - MGLL
ALB - APOA5
ALB - CLPS
FABP4 - MGLL
FABP4 - APOA5
FABP4 - CLPS
LDLRAP1 - MGLL
LDLRAP1 - ABCA1
LDLRAP1 - ALB
APOA1 - MGLL
APOA1 - APOA5
APOA1 - CLPS
APOA2 - MGLL
APOA2 - APOA5
APOA2 - ALB
APOB - MGLL
APOB - APOA5
APOB - CLPS
APOC2 - MGLL
APOC2 - APOA5
APOC2 - CLPS
APOC3 - MGLL
APOC3 - APOA5
APOC3 - CLPS
APOE - MGLL
APOE - APOA5
APOE - CLPS
LCAT - MGLL
LCAT - ALB
LCAT - LDLRAP1
LDLR - MGLL
LDLR - LDLRAP1
LDLR - APOA1
LIPC - MGLL
LIPC - APOA5
LIPC - CLPS
LIPE - MGLL
LIPE - CLPS
LIPE - ALB
LPA - MGLL
LPA - APOA5
LPA - CLPS
LPL - MGLL
LPL - CLPS
LPL - ALB
MTTP - MGLL
MTTP - APOA5
MTTP - CLPS
P4HB - MGLL
P4HB - APOA5
P4HB - ABCA1
ABHD5 - ABCA1
ABHD5 - ALB
ABHD5 - FABP4
SAR1B - MGLL
SAR1B - ABCA1
SAR1B - ALB
PLIN1 - MGLL
PLIN1 - APOA5
PLIN1 - CLPS
PNLIP - MGLL
PNLIP - APOA5
PNLIP - CLPS
PPP1CA - MGLL
PPP1CA - APOA5
PPP1CA - ABCA1
PPP1CB - MGLL
PPP1CB - ALB
PPP1CB - FABP4
PPP1CC - MGLL
PPP1CC - APOA5
PPP1CC - CLPS
PRKACA - MGLL
PRKACA - ABCA1
PRKACA - ALB
PRKACB - APOA5
PRKACB - CLPS
PRKACB - ALB
PRKACG - MGLL
PRKACG - APOA5
PRKACG - CLPS
SDC1 - MGLL
SDC1 - APOA5
SDC1 - CLPS
ABCG5 - MGLL
ABCG5 - APOA5
ABCG5 - CLPS
BMP1 - MGLL
BMP1 - APOA5
BMP1 - CLPS
CUBN - MGLL
CUBN - ABCA1
CUBN - ALB
AMN - MGLL
AMN - APOA5
AMN - CLPS
CAV1 - MGLL
CAV1 - APOA5
CAV1 - CLPS
SCARB1 - MGLL
SCARB1 - FABP4
SCARB1 - LDLRAP1
ABCG1 - ALB
ABCG1 - FABP4
ABCG1 - LDLRAP1


network 28 (337)	 number of edges : 108
------------------------------

APOA5 - MGLL
CLPS - MGLL
CLPS - APOA5
ALB - MGLL
ALB - APOA5
ALB - CLPS
FABP4 - MGLL
FABP4 - APOA5
FABP4 - CLPS
LDLRAP1 - MGLL
LDLRAP1 - ABCA1
LDLRAP1 - ALB
APOA1 - MGLL
APOA1 - APOA5
APOA1 - CLPS
APOA2 - MGLL
APOA2 - APOA5
APOA2 - ALB
APOB - MGLL
APOB - APOA5
APOB - CLPS
APOC2 - MGLL
APOC2 - APOA5
APOC2 - CLPS
APOC3 - MGLL
APOC3 - APOA5
APOC3 - CLPS
APOE - MGLL
APOE - APOA5
APOE - CLPS
LCAT - MGLL
LCAT - ALB
LCAT - LDLRAP1
LDLR - MGLL
LDLR - LDLRAP1
LDLR - APOA1
LIPC - MGLL
LIPC - APOA5
LIPC - CLPS
LIPE - MGLL
LIPE - ALB
LIPE - FABP4
LPA - MGLL
LPA - APOA5
LPA - CLPS
LPL - MGLL
LPL - CLPS
LPL - ALB
MTTP - MGLL
MTTP - APOA5
MTTP - CLPS
P4HB - MGLL
P4HB - APOA5
P4HB - ABCA1
ABHD5 - ABCA1
ABHD5 - ALB
ABHD5 - FABP4
SAR1B - MGLL
SAR1B - ABCA1
SAR1B - ALB
PLIN1 - MGLL
PLIN1 - APOA5
PLIN1 - CLPS
PNLIP - MGLL
PNLIP - APOA5
PNLIP - CLPS
PPP1CA - MGLL
PPP1CA - APOA5
PPP1CA - ABCA1
PPP1CB - MGLL
PPP1CB - ALB
PPP1CB - FABP4
PPP1CC - MGLL
PPP1CC - APOA5
PPP1CC - CLPS
PRKACA - MGLL
PRKACA - ABCA1
PRKACA - ALB
PRKACB - APOA5
PRKACB - CLPS
PRKACB - ALB
PRKACG - MGLL
PRKACG - APOA5
PRKACG - CLPS
SDC1 - MGLL
SDC1 - APOA5
SDC1 - CLPS
ABCG5 - MGLL
ABCG5 - APOA5
ABCG5 - CLPS
BMP1 - MGLL
BMP1 - APOA5
BMP1 - CLPS
CUBN - MGLL
CUBN - ABCA1
CUBN - ALB
AMN - MGLL
AMN - APOA5
AMN - CLPS
CAV1 - MGLL
CAV1 - APOA5
CAV1 - CLPS
SCARB1 - MGLL
SCARB1 - FABP4
SCARB1 - LDLRAP1
ABCG1 - ALB
ABCG1 - FABP4
ABCG1 - LDLRAP1


